model,gamma_c,full_chi2,full_p,full_alpha,low_z_chi2,low_z_p,low_z_alpha,high_z_conditional_chi2,high_z_delta_chi2_vs_LCDM,optimisation_success
PATH_FREE,0.7,3163.8780894861784,-0.3063382618850966,0.0,2103.2536689116505,-0.45587074634732966,0.0,1942.1070297971492,992.1406656546108,True
PATH_FREE,0.75,3160.086398668029,-0.26191177326175313,0.0,2103.1429213703036,-0.40911347162741196,0.0,1910.5228710194328,960.5565068768944,True
PATH_FREE,0.8,3155.9254334504603,-0.2183854073135663,0.0,2103.018723320236,-0.3629600699010703,0.0,1875.8487954415887,925.8824312990503,True
PATH_FREE,0.85,3151.454716963563,-0.17572137470430466,0.0,2102.8837000431818,-0.31739525439487515,0.0,1838.5839288744055,888.6175647318671,True
PATH_FREE,0.9,3146.7298841917814,-0.13388436088532804,0.0,2102.740553610607,-0.272404284505301,0.0,1799.194205253367,849.2278411108286,True
PATH_FREE,0.95,3141.8028321433017,-0.09284115946264906,0.0,2102.592039049999,-0.22797305570423124,0.0,1758.1139948928667,808.1476307503283,True
PATH_FREE,1.0,3136.7218881503654,-0.05256061428060205,0.0,2102.440943730217,-0.18408791099875435,0.0,1715.7464065674155,765.7800424248771,True
PATH_FREE,1.05,3131.5319880631087,-0.01301351492097619,0.0,2102.2900695727703,-0.14073577485356958,0.0,1672.465486220251,722.4991220777126,True
PATH_FREE,1.1,3126.2748584191377,0.025827662003686407,0.0,2102.1422177443305,-0.0979039577703426,0.0,1628.6167465034687,678.6503823609303,True
PATH_FREE,1.15,3120.989198376923,0.06398895576357701,0.0,2102.000175528297,-0.05558016309982179,0.0,1584.518843944065,634.5524798015267,True
PATH_FREE,1.2,3115.710858457651,0.10149491021782182,0.0,2101.866705110031,-0.013752716587997638,0.0,1540.4662426168152,590.4998784742768,True
PATH_FREE,1.25,3110.4730140671836,0.13836857423215765,0.0,2101.7445340426175,0.02758985846595903,0.0,1496.728750628043,546.7623864855045,True
PATH_FREE,1.3,3105.3063324531636,0.17463195792257308,0.0,2101.6363471881236,0.06845843850293755,0.0,1453.5548914571036,503.5885273145652,True
PATH_FREE,1.35,3100.239132255218,0.2103058183337271,0.0,2101.5447799540075,0.1088637743692202,0.0,1411.1712803754735,461.20491623293515,True
PATH_FREE,1.4,3095.2975351745195,0.24540985954993355,0.0,2101.4724126658107,0.1488160381211347,0.0,1369.7859650277585,419.8196008852201,True
PATH_FREE,1.45,3090.505609557628,0.2799627243866924,0.0,2101.4217659361752,0.18832514804223685,0.0,1329.5883761452537,379.62201200271534,True
PATH_FREE,1.5,3085.885505882665,0.3139822116326124,0.0,2101.39529690693,0.22740079518421957,0.0,1290.7505803110146,340.7842161684762,True
PATH_FREE,1.55,3081.4575842736394,0.34748520366055335,0.0,2101.395396255296,0.2660522106716536,0.0,1253.4293151829704,303.462951040432,True
PATH_FREE,1.6,3077.2405342642815,0.3804877746237055,0.0,2101.4243858684154,0.30428839201740887,0.0,1217.7662883236858,267.7999241811474,True
PATH_FREE,1.65,3073.251487097253,0.41300522644667625,0.0,2101.4845171013712,0.3421180798577517,0.0,1183.8893640954461,233.92299995290773,True
PATH_FREE,1.7,3069.5061208857333,0.44505217417909043,0.0,2101.577969543946,0.3795496190402114,0.0,1151.91394698339,201.9475828408515,True
PATH_FREE,1.75,3066.0187589884863,0.47664255433997677,0.0,2101.706850230102,0.41659135641272343,0.0,1121.9428350914236,171.9764709488852,True
PATH_FREE,1.8,3062.802461960601,0.507789672161615,0.0,2101.873193231871,0.45325102184526667,0.0,1094.0687164078581,144.10235226531972,True
PATH_FREE,1.85,3059.8691134444293,0.5385062387686328,0.0,2102.078959586098,0.48953639986642256,0.0,1068.3732752278925,118.40691108535407,True
PATH_FREE,1.9,3057.2295003604245,0.568804444387393,0.0,2102.3260375086047,0.5254549627230529,0.0,1044.9289081896532,94.96254404711476,True
PATH_FREE,1.95,3054.893387748473,0.5986959073330412,0.0,2102.6162428555904,0.5610139406218291,0.0,1023.7992393939917,73.83287525145329,True
PATH_FREE,2.0,3052.8695885978887,0.6281917560936343,0.0,2102.951319796769,0.5962202840550576,0.0,1005.0398112342027,55.07344709166432,True
PATH_FREE,2.1,3049.789808858159,0.6860391182476197,0.0,2103.7627119825675,0.6656022448390613,0.0,974.8159312124526,24.8495670699142,True
PATH_FREE,2.2,3048.043992261342,0.7424267849640884,0.0,2104.7727697595255,0.7336531154724034,0.0,954.5592289327253,4.592864790186923,True
PATH_FREE,2.3,3047.674475661129,0.7974289064225032,0.0,2105.9929703335197,0.8004220789971171,0.0,944.4758233885777,-5.4905407539606585,True
PATH_FREE,2.4,3048.713630120329,0.8511139436471491,0.0,2107.4337558749717,0.8659557579215689,0.0,944.6899096982806,-5.276454444257752,True
PATH_FREE,2.5,3051.1851911297936,0.9035453013742762,0.0,2109.10458069442,0.9302981977672642,0.0,955.256198570045,5.289834427506548,True
