scenario,model,galaxy,N_points,success,message,profile_objective,data_objective,prior_objective,logd,distance_pull,distance_multiplier,logeta_disk,disk_ml_multiplier,logeta_bulge,bulge_ml_multiplier,delta_inc_deg,inclination_pull,trial_inclination_deg,logeta_gas,gas_multiplier
baseline,RAR,NGC6674,15,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,67.12050903943303,57.14450942627965,9.975999613153387,-0.18806625428271298,-1.5266556262172464,0.8285598097782233,0.6912543947460937,1.9962180087511143,0.6912543947460937,1.9962180087511143,0.0,0.0,54.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC6674,15,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64.79808694352622,54.348918599812094,10.449168343714124,-0.2015869554521233,-1.5945242438519336,0.8174324942574847,0.7029696285883615,2.0197416932108543,0.7029696285883615,2.0197416932108543,0.0,0.0,54.0,0.0,1.0
baseline,RAR,UGC02885,19,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,41.72778601145554,37.69725809462008,4.030527916835459,-0.029889484784373158,-1.4596165603712716,0.9705527884724438,0.3446055184487581,1.4114330255432614,0.3446055184487581,1.4114330255432614,0.0,0.0,64.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC02885,19,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,41.17165763787686,37.168664015798456,4.00299362207841,-0.031082713882123986,-1.4715488513487798,0.9693953873040364,0.33888951003355217,1.4033882763225414,0.33888951003355217,1.4033882763225414,0.0,0.0,64.0,0.0,1.0
baseline,RAR,UGC02916,43,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,225.965078659349,224.62387257117237,1.3412060881766275,0.20613495916530544,0.6010312581102921,1.228919046692834,-0.2474832715244339,0.7807632816811617,-0.2474832715244339,0.7807632816811617,0.0,0.0,50.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC02916,43,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,227.98358012919988,226.35754963133942,1.6260304978604574,0.22251808898317454,0.7103635734254594,1.2492184165371931,-0.26474210226778594,0.7674038361665987,-0.26474210226778594,0.7674038361665987,0.0,0.0,50.0,0.0,1.0
baseline,RAR,UGC03205,48,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,175.99345096737105,168.6135370322471,7.3799139351239385,-0.161120988294808,-1.38596579773781,0.851189080961511,0.5841132564957402,1.7933999945479386,0.5841132564957402,1.7933999945479386,0.0,0.0,67.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC03205,48,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,175.0258793533849,168.0230360516237,7.00284330176121,-0.15571725513320037,-1.358947131929772,0.8558011295422567,0.5676765140895086,1.7641632772307279,0.5676765140895086,1.7641632772307279,0.0,0.0,67.0,0.0,1.0
baseline,RAR,UGC03546,30,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.068192072944958,10.88424406260889,2.183948010336069,0.2523147379376527,0.5430780088689711,1.287001041599976,-0.34360354031017554,0.7092100455146222,-0.34360354031017554,0.7092100455146222,0.0,0.0,55.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC03546,30,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.64275048407639,11.27893468037038,2.3638158037060086,0.2575036008412587,0.563761392943067,1.293696469367552,-0.35759517050822476,0.6993561376963909,-0.35759517050822476,0.6993561376963909,0.0,0.0,55.0,0.0,1.0
