scenario,galaxy,group,matched_candidate,N_points,delta_profile_objective_plamb_minus_rar,delta_data_objective_plamb_minus_rar,rar_profile_objective,plamb_profile_objective,rar_distance_pull,plamb_distance_pull,rar_disk_ml_multiplier,plamb_disk_ml_multiplier,rar_bulge_ml_multiplier,plamb_bulge_ml_multiplier,rar_delta_inc_deg,plamb_delta_inc_deg,rar_gas_multiplier,plamb_gas_multiplier,both_optimisers_succeeded
baseline,UGC03205,matched_control,NGC5985,48,-0.9675716139861379,-0.5905009806234034,175.99345096737105,175.0258793533849,-1.38596579773781,-1.358947131929772,1.7933999945479386,1.7641632772307279,1.7933999945479386,1.7641632772307279,0.0,0.0,1.0,1.0,True
baseline,UGC03546,matched_control,UGC03580,30,0.5745584111314308,0.3946906177614906,13.068192072944958,13.64275048407639,0.5430780088689711,0.563761392943067,0.7092100455146222,0.6993561376963909,0.7092100455146222,0.6993561376963909,0.0,0.0,1.0,1.0,True
baseline,UGC03580,candidate,UGC03580,47,-2.6978763235173204,-2.68907654643111,96.96950351481777,94.27162719130045,0.5027316465820945,0.4939021475848503,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.0,0.0,1.0,1.0,True
baseline,UGC05253,matched_control,UGC06787,73,1.9170661497985861,1.9575426288052995,138.19968787162995,140.11675402142853,0.0050897398060618495,0.04370291367467613,1.091128014649996,1.0729543913383421,1.091128014649996,1.0729543913383421,0.0,0.0,1.0,1.0,True
baseline,UGC06786,matched_control,UGC09133,45,0.14247864384922337,0.9458523654172666,51.261091176224184,51.40356982007341,2.9548570710142417,2.8925592112586966,0.5185458605819266,0.5296761769878601,0.5185458605819266,0.5296761769878601,0.0,0.0,1.0,1.0,True
baseline,UGC06787,candidate,UGC06787,71,-3.0228005568797016,-2.997084890637524,282.7634029084677,279.740602351588,3.727071569776122,3.7236201229437027,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.0,0.0,1.0,1.0,True
baseline,UGC08699,matched_control,UGC03580,41,0.03597308634704888,0.022921307888903897,25.515957396622568,25.551930482969617,0.46048427010896953,0.4801283100770653,1.020536301711918,1.0086473704999068,1.020536301711918,1.0086473704999068,0.0,0.0,1.0,1.0,True
baseline,UGC09133,candidate,UGC09133,68,12.151033647069966,12.234189646890826,199.4468030135008,211.59783666057078,-1.6874886149426176,-1.6967963859457074,1.5433250445745248,1.5305118072071142,1.5433250445745248,1.5305118072071142,0.0,0.0,1.0,1.0,True
combined_conventional,NGC2903,candidate,NGC2903,34,2.2157448089804035,2.0671783755862947,109.894899938705,112.1106447476854,1.7773767943110683,1.7801644755049744,0.35659928730936347,0.3509435204947975,0.35659928730936347,0.3509435204947975,0.5249654025844128,0.5249489996869499,0.9564284965078728,0.9526425557414956,True
combined_conventional,NGC3521,matched_control,NGC2903,41,-0.13436231602772608,-0.31520425857559964,7.839253433686213,7.704891117658487,0.5128720413267649,0.5694169836457892,0.7494579011041046,0.7190497990576936,0.7494579011041046,0.7190497990576936,0.47584895881336386,0.5170450216029588,1.0697009998298426,1.0704762527967435,True
