window_index,tag,bcut_deg,z_center,N,ess,baseline_snr,baseline_amp,weighted_snr,weighted_amp,weighted_l_deg,weighted_b_deg,weighted_priority,amp_ratio_weighted_vs_baseline,direction_sep_weighted_vs_baseline_deg
43,z1p20_1p30,15.0,1.25,35946,35624.86056819602,2.483974592577678,0.000554225201777104,2.474870711321885,0.0005564271119351313,160.9712425185868,-83.09797046102055,0.02375947554875491,1.0039729520616654,2.36015234072801
44,z1p30_1p40,15.0,1.35,38452,38360.49816395851,1.4654528573533843,0.00042303102885386226,1.038613500458707,0.0003000681345081218,36.73139960827553,-4.347218780805985,0.009970772546697934,0.7093289003435762,1.8253829132840256
45,z1p40_1p50,15.0,1.4500000000000002,41035,40936.48645429326,1.6847824024129827,0.0004608408199376092,1.8791596412131861,0.000513442172730634,279.59064118645176,0.8431843012373498,0.01795080626006358,1.1141421300312464,2.9669998649522613
46,z1p50_2p50,15.0,2.0,264161,263841.9360225529,2.7620798766666415,0.0029781037939173925,0.5761108962100264,0.0006258870783425865,208.59188084048122,-11.783772039907138,0.005103015518904962,0.21016294986794123,2.45874765110745
47,z1p50_1p60,15.0,1.5500000000000005,36921,36894.71019881467,0.5420486533019853,0.0001566778958145005,0.3606658443053884,0.00010544190736698187,187.1447068459291,-20.150932620959203,0.003415298555924388,0.6729852147862663,2.498262718035658
48,z1p60_1p70,15.0,1.6500000000000004,35094,34761.672901710044,2.243642548916367,0.0005469132512913604,2.2916279727085778,0.0005667226348828915,314.1361922500965,54.32419190170035,0.02144917683145764,1.0362203394135312,1.8764641611482495
49,z1p70_1p80,15.0,1.7500000000000004,32830,32607.835556606307,2.6632090473748637,0.0007697557617415025,2.6240683295171863,0.0007658072793601746,89.82822621336153,-23.328373166216743,0.024222392130736733,0.994870473755994,1.4319730257716967
50,z1p80_1p90,15.0,1.8500000000000003,29825,29707.51605458386,1.8023620667467775,0.0005739037317304785,1.6334425231347391,0.000518396390285302,181.69591595534965,19.60776989128353,0.014845027358023495,0.9032810933676864,1.5323098881569697
51,z1p90_2p00,15.0,1.9500000000000008,27642,27398.476237793555,2.795670573431265,0.0007235346806196414,2.957154542528395,0.000768881676026609,273.2767506260498,-60.59598681150619,0.026425557923242506,1.0626742526952986,4.545853519318442
52,z2p00_2p10,15.0,2.0500000000000007,23731,23677.12863252273,0.8040244708223441,0.00029453389461190065,0.7278434640850858,0.00026840291111417277,328.390657616989,-9.198085472246945,0.00638908944707481,0.9112802160438616,2.4314229706109893
53,z2p10_2p20,15.0,2.1500000000000004,21019,20850.509312401056,1.9077141027218867,0.0006979606099183881,1.9168227324016216,0.0006997582412727434,254.42754208793014,25.447862957520737,0.016516672710579907,1.0025755484318313,1.769953400706679
