mock_id,max_snr,max_snr_window_index,max_snr_tag,max_snr_bcut_deg,max_snr_amp,max_snr_l_deg,max_snr_b_deg,max_snr_sep_cmb_deg,max_priority,max_priority_window_index,max_priority_tag,max_priority_bcut_deg,max_priority_snr,max_priority_amp,max_priority_l_deg,max_priority_b_deg,max_priority_sep_cmb_deg,max_abs_par_cmb,max_abs_par_cmb_window_index,max_abs_par_cmb_tag,max_abs_par_cmb_bcut_deg,max_abs_par_cmb_snr,max_z1p00_snr,max_z1p00_snr_bcut_deg,max_z1p00_priority,max_z1p00_priority_bcut_deg
787,3.6411676544185023,134,z1p80_1p90,30.0,0.0009213290843117594,76.63220556044713,76.73617482018625,54.92206093669661,0.03309160419141002,134,z1p80_1p90,30.0,3.6411676544185023,0.0009213290843117594,76.63220556044713,76.73617482018625,54.92206093669661,0.0012980402406282297,62,z0p50_0p75,20.0,2.854436155942329,2.371090796423162,30.0,0.02276315831116836,30.0
788,4.652767449336945,61,z0p50_0p60,20.0,0.0018144621757136522,238.51906425080512,-2.6261563033891724,55.517557810481556,0.03573158139917354,126,z1p10_1p20,30.0,3.746079805865694,0.0010751525996169407,97.39749939227784,37.76635902572475,93.16087855887054,0.0027136334581091015,102,z1p50_2p50,25.0,3.012800581633783,3.264346036400499,10.0,0.031338667300768425,10.0
789,4.3801806198774775,2,z0p30_0p40,10.0,0.001501305172890614,204.0221159979408,42.63997339781962,41.38290680958561,0.028349142533748154,50,z1p80_1p90,15.0,3.1193404897299786,0.0009888921866877034,222.57754614593713,14.267802504853591,48.11760451983093,0.0015692186006260587,74,z1p50_2p50,20.0,2.358175133388356,2.1504420220798806,35.0,0.02064486617781009,35.0
790,3.433087385183249,19,z1p50_1p60,10.0,0.0009059737865914041,216.14583483961727,24.154184555341665,44.536252603845725,0.032509367255332884,19,z1p50_1p60,10.0,3.433087385183249,0.0009059737865914041,216.14583483961727,24.154184555341665,44.536252603845725,0.0013313300650262092,153,z1p00_1p50,35.0,2.2113814781791588,2.7472413848445743,25.0,0.026374312892845392,25.0
791,4.029303662446786,129,z1p40_1p50,30.0,0.0014633879959858628,12.629347985493336,6.262170626586557,97.45911063825602,0.03849021010309219,129,z1p40_1p50,30.0,4.029303662446786,0.0014633879959858628,12.629347985493336,6.262170626586557,97.45911063825602,0.0019132475882136968,85,z0p10_0p30,25.0,2.7092944880160705,2.391459207510592,30.0,0.022958700956279023,30.0
792,4.429798645165264,143,z0p30_0p50,35.0,0.0036070156446264038,226.69095046350216,-5.275145828904824,62.702463651764354,0.03776903772691148,103,z1p50_1p60,25.0,3.9885244751879836,0.00129202365134173,295.3605606327221,-16.066070048245294,70.12270613686108,0.0018056737722979169,153,z1p00_1p50,35.0,3.3064149576605484,3.5171864894280027,25.0,0.03376600887217295,25.0
793,3.568049740851809,96,z1p00_1p10,25.0,0.0011443647676939216,244.582636326785,-24.667288298018107,74.97667786315584,0.03352421549112663,96,z1p00_1p10,25.0,3.568049740851809,0.0011443647676939216,244.582636326785,-24.667288298018107,74.97667786315584,0.0021538010214136273,130,z1p50_2p50,30.0,3.1383995440913526,2.3950325358548072,15.0,0.022993005943215777,15.0
794,3.73334256083672,122,z0p80_0p90,30.0,0.0013013505261617513,25.41608831805798,33.31353257901443,83.11341636781134,0.03273296753736233,122,z0p80_0p90,30.0,3.73334256083672,0.0013013505261617513,25.41608831805798,33.31353257901443,83.11341636781134,0.001526370305790017,130,z1p50_2p50,30.0,2.0628259916171983,2.716994181620333,20.0,0.026083930982333095,20.0
795,3.62777389980879,18,z1p50_2p50,10.0,0.003111451251277777,349.1892501061749,36.173212375926376,60.94573439016137,0.03213372048955953,18,z1p50_2p50,10.0,3.62777389980879,0.003111451251277777,349.1892501061749,36.173212375926376,60.94573439016137,0.0018368432143459651,153,z1p00_1p50,35.0,2.6196424432170278,2.6196424432170278,35.0,0.025149326100695993,35.0
796,3.8187084712199457,157,z1p40_1p50,35.0,0.0012457560598518609,120.51010532619529,27.580904781468085,97.4142172620586,0.03647848454550547,157,z1p40_1p50,35.0,3.8187084712199457,0.0012457560598518609,120.51010532619529,27.580904781468085,97.4142172620586,0.0018091298904648833,74,z1p50_2p50,20.0,3.163492691123911,1.8647407931030842,35.0,0.01790205164084475,35.0
