mock_id,max_snr,max_snr_tag,max_snr_bcut_deg,max_snr_amp,max_priority,max_priority_tag,max_priority_bcut_deg,max_priority_snr,max_z1p00_snr,max_z1p00_snr_bcut_deg,max_z1p00_priority,max_z1p00_priority_bcut_deg
125,9.451641844717296,z1p00_1p50,10.0,0.004858127808128329,0.09073849889524269,z1p00_1p50,10.0,9.451641844717296,9.451641844717296,10.0,0.09073849889524269,10.0
126,10.583604208329303,z1p50_2p50,15.0,0.009653922135977088,0.09374635487082175,z1p50_2p50,15.0,10.583604208329303,8.926189128950913,10.0,0.08569400065330826,10.0
127,11.157175921330218,z1p00_1p50,10.0,0.006151871125518804,0.10711211995167717,z1p00_1p50,10.0,11.157175921330218,11.157175921330218,10.0,0.10711211995167717,10.0
128,11.521450232154047,z1p50_2p50,15.0,0.010303750960784282,0.1020535103948795,z1p50_2p50,15.0,11.521450232154047,9.930079719690973,10.0,0.0953316410501166,10.0
129,10.073184278243142,z1p50_2p50,15.0,0.009189786216053373,0.09495426324368764,z1p00_1p50,10.0,9.890770717338736,9.890770717338736,10.0,0.09495426324368764,10.0
130,9.312082320647718,z1p50_2p50,15.0,0.008488435144988806,0.08248359978642393,z1p50_2p50,15.0,9.312082320647718,8.058451635502635,10.0,0.07736346942030085,10.0
131,9.604542078577442,z1p00_1p50,15.0,0.00482029282859832,0.09220638542005379,z1p00_1p50,15.0,9.604542078577442,9.604542078577442,15.0,0.09220638542005379,15.0
132,10.194452266266591,z1p00_1p50,10.0,0.005222530857948897,0.0978696940592657,z1p00_1p50,10.0,10.194452266266591,10.194452266266591,10.0,0.0978696940592657,10.0
133,10.108513675036857,z1p00_1p50,10.0,0.0051000576536609134,0.0970446586957308,z1p00_1p50,10.0,10.108513675036857,10.108513675036857,10.0,0.0970446586957308,10.0
134,11.90669842807605,z1p00_1p50,10.0,0.006127505051824686,0.11430775307740004,z1p00_1p50,10.0,11.90669842807605,11.90669842807605,10.0,0.11430775307740004,10.0
135,10.570730992224666,z1p50_2p50,15.0,0.009448198705012704,0.09821406447949797,z1p00_1p50,10.0,10.230323102940979,10.230323102940979,10.0,0.09821406447949797,10.0
