frame,offset_mode,prior_config,model,offset_label,offset_type,prior_sigma_mag,offset_mag,pull_sigma
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,DES_Dovekie_raw:IDSURVEY_10,survey,0.016,0.028278081862366015,1.767380116397876
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,DES_Dovekie_raw:IDSURVEY_150,survey,0.016,-0.013581956890413508,-0.8488723056508443
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,DES_Dovekie_raw:IDSURVEY_64,survey,0.016,-0.006852873401039763,-0.4283045875649852
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,DES_Dovekie_raw:IDSURVEY_65,survey,0.016,-0.009131345172349346,-0.5707090732718341
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_1,survey,0.016,-0.11956642829634108,-7.472901768521317
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_10,survey,0.016,-0.09367089138647991,-5.854430711654994
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_15,survey,0.016,-0.09161192132081777,-5.725745082551111
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_150,survey,0.016,-0.10684740299087994,-6.677962686929996
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_4,survey,0.016,-0.03319797072712971,-2.0748731704456067
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_5,survey,0.016,-0.06091863095620545,-3.8074144347628405
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_50,survey,0.016,-0.025838290756049244,-1.6148931722530777
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_51,survey,0.016,-0.03318452598497065,-2.074032874060666
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_56,survey,0.016,-0.023736016733860974,-1.483501045866311
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_57,survey,0.016,-0.058878563618883,-3.6799102261801875
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_63,survey,0.016,-0.029527849091027673,-1.8454905681892295
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_64,survey,0.016,-0.06299557580318803,-3.9372234876992516
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_65,survey,0.016,-0.03885555585182595,-2.4284722407391217
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,Union3p1_UNITY1p8,dataset,0.032,0.05859389933463939,1.831059354207481
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,DES_Dovekie_raw:IDSURVEY_OTHER,survey,0.016,-0.012400658215948912,-0.775041138496807
HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_OTHER,survey,0.016,-0.052470663626383515,-3.2794164766489695
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,DES_Dovekie_raw:IDSURVEY_10,survey,0.025,0.015190141760608655,0.6076056704243462
