ra_deg,dec_deg,z,DH_over_rd,DM_over_rd,kind,l_deg,b_deg
46.08411428571428,9.900041632653062,9.3435477318993e-11,,,BAO,168.52091922584887,-40.920955733888725
43.52388571428571,10.18089387755102,9.8374811225047e-11,,,BAO,165.66501739291547,-42.29039543961391
32.32288571428571,7.583010612244899,9.947368991572032e-11,,,BAO,154.2142060744506,-50.499413053465176
33.28297142857143,7.44258448979592,1.0775382647998291e-10,,,BAO,155.63064051189318,-50.17025125467987
34.24305714285714,7.302158367346939,1.0962452908475656e-10,,,BAO,157.02641356085942,-49.822011562225256
35.20314285714286,7.1617322448979595,1.1024182802593735e-10,,,BAO,158.40093747989906,-49.45520994307535
36.163228571428576,7.02130612244898,1.1181397418452932e-10,,,BAO,159.75372845340877,-49.07037058716376
46.72417142857143,9.829828571428571,1.1199155421740588e-10,,,BAO,169.21421082729327,-40.56504156310386
37.12331428571429,6.880880000000001,1.1554654775938684e-10,,,BAO,161.08440241763628,-48.66802324218809
42.88382857142857,10.251106938775512,1.1809909328042428e-10,,,BAO,164.9301067697875,-42.618588042036755
32.002857142857145,7.653223673469388,1.3043686022567045e-10,,,BAO,153.7206362543212,-50.58402236735471
45.12402857142857,9.970254693877552,1.3805497498746655e-10,,,BAO,167.49525349186965,-41.47200153890784
44.48397142857143,10.04046775510204,1.4105309084213878e-10,,,BAO,166.781093894412,-41.81466422972976
35.8432,7.09151918367347,1.4205530142315654e-10,,,BAO,159.28619631363256,-49.18080058371871
36.803285714285714,6.9510930612244906,1.4241992400998768e-10,,,BAO,160.62384222201462,-48.78447869511176
34.883114285714285,7.2319453061224515,1.4388779741575085e-10,,,BAO,157.92658438819805,-49.559439862449196
32.962942857142856,7.51279755102041,1.4468037157049623e-10,,,BAO,155.14323338371858,-50.26156718076061
45.76408571428571,9.900041632653062,1.460823538270962e-10,,,BAO,168.2010956853984,-41.123858007294096
33.923028571428574,7.372371428571429,1.460823538270962e-10,,,BAO,156.54542391041957,-49.91986906529175
42.24377142857142,10.32132,1.4803906535767958e-10,,,BAO,164.18674752198288,-42.94086374188129
43.84391428571429,10.11068081632653,1.5501109606390508e-10,,,BAO,166.05856595513566,-42.151723270693495
46.40414285714285,9.829828571428571,1.6723908515834108e-10,,,BAO,168.89867819941372,-40.77035496128879
31.682828571428573,7.723436734693879,1.6933442540234927e-10,,,BAO,153.22528960743034,-50.666280932298754
37.44334285714286,6.880880000000001,1.7854740206294088e-10,,,BAO,161.48350316184542,-48.491293277002185
36.48325714285714,7.02130612244898,1.7968436430068644e-10,,,BAO,160.16110047977614,-48.89885886098285
43.20385714285714,10.18089387755102,1.815141506951938e-10,,,BAO,165.32762600627757,-42.483054457662426
35.52317142857142,7.1617322448979595,1.8450767062203662e-10,,,BAO,158.81654055190285,-49.28909776968566
34.56308571428571,7.302158367346939,1.9160017221576896e-10,,,BAO,157.45017676282438,-49.66148035398332
32.64291428571428,7.583010612244899,1.9564167314633558e-10,,,BAO,154.65394487169416,-50.35058438555237
33.603,7.44258448979592,1.9797200030940043e-10,,,BAO,156.06246037179545,-50.01548173108777
47.0442,9.759615510204084,2.0648749753191464e-10,,,BAO,169.58806507343172,-40.41161216620757
31.3628,7.793649795918368,2.1565866371539195e-10,,,BAO,152.7282074194748,-50.74617263203655
42.5638,10.251106938775512,2.2337526217515816e-10,,,BAO,164.58823814452083,-42.808532288582605
