probe,kind,z,log1pz,x_hht,n_in_bin,observed,sigma,joint_pull_LCDM_baocov,joint_pull_SU2_baocov_4D,joint_pull_SU2R_baocov_4D,joint_pull_SU2_wa_free_baocov,joint_delta_pull_SU2_baocov_4D_minus_LCDM_baocov,joint_delta_pull_SU2R_baocov_4D_minus_LCDM_baocov,joint_delta_pull_SU2_wa_free_baocov_minus_LCDM_baocov
SN_bin,mu_binned_pull,0.7578317683875744,0.5640810997963233,0.5640810997963233,17,nan,1.0,0.6032670899018887,0.723240027678758,0.7229727918196214,0.7305975118634563,0.11997293777686924,0.11970570191773267,0.12733042196156763
CC,H_z,0.7812,0.5772872944654102,0.5773672944654101,1,104.5,12.19515,0.22495459419284328,0.05273717584525497,0.050840187300732816,0.045873102142301475,-0.1722174183475883,-0.17411440689211047,-0.1790814920505418
BAO,DH_over_rd,0.845,0.6124792774924905,0.6126392774924906,1,16.542776163980086,1.4199973592500403,1.271562230601018,1.5205175688222226,1.5238904651653506,1.526073284748546,0.24895533822120464,0.25232823456433273,0.25451105414752817
BAO,DM_over_rd,0.845,0.6124792774924905,0.6127192774924906,1,18.33,0.3959797978143435,3.012139288196974,3.6383532063696675,3.6381071659550073,3.674837766902638,0.6262139181726933,0.6259678777580331,0.6626984787056638
BAO,DH_over_rd,0.85,0.6151856390902334,0.6153456390902334,1,19.6,0.8574766995534563,-1.5185074941832692,-1.1086784686483244,-1.1030524184667785,-1.1001479105707384,0.4098290255349448,0.41545507571649076,0.4183595836125309
BAO,DM_over_rd,0.85,0.6151856390902334,0.6154256390902334,1,19.5,0.4085690275548165,0.27990866803538517,0.8911405112130233,0.8909608784395361,0.9265939014548792,0.6112318431776381,0.6110522104041509,0.646685233419494
CC,H_z,0.8754,0.6288219700033877,0.6289019700033877,1,125.1,16.70085,-0.727117743101235,-0.8524586712288668,-0.8542588902275994,-0.8540656583577384,-0.12534092812763176,-0.12714114712636437,-0.1269479152565034
CC,H_z,0.88,0.6312717768418579,0.6313517768418578,1,90.0,39.996,0.5811309637115999,0.5288255621441676,0.5280658398724938,0.5282280100464521,-0.05230540156743224,-0.05306512383910611,-0.052902953665147745
CC,H_z,0.9,0.6418538861723948,0.6419338861723948,1,117.0,23.0022,-0.10886025664965904,-0.1995232046544755,-0.2009039182381827,-0.20000186062697894,-0.09066294800481647,-0.09204366158852367,-0.09114160397731991
CC,H_z,1.037,0.7114781372446687,0.7115581372446687,1,153.7,19.6736,-1.5394868477325296,-1.6413782927840168,-1.6434229046840774,-1.6373430442392027,-0.10189144505148717,-0.10393605695154773,-0.0978561965066731
CC,H_z,1.3,0.832909122935104,0.832989122935104,1,168.0,17.0016,-1.5266267927231028,-1.6280321162792162,-1.6310779350593456,-1.6139778593136542,-0.10140532355611342,-0.10445114233624286,-0.08735106659055147
CC,H_z,1.363,0.8599319982047707,0.8600119982047707,1,160.0,33.58,-0.39364652354056956,-0.44250343441780976,-0.4441023643643748,-0.43441677356218805,-0.0488569108772402,-0.05045584082380522,-0.04077025002161849
CC,H_z,1.43,0.8878912573524571,0.8879712573524571,1,177.0,18.0009,-1.3928606058986832,-1.4788075230894842,-1.4818846643347419,-1.4619501035291538,-0.08594691719080094,-0.08902405843605865,-0.06908949763047056
BAO,DH_over_rd,1.48,0.9082585601768908,0.9084185601768908,1,13.233264493178957,0.18143035379199476,-0.8522356858311815,-0.16359051262530666,-0.13696750393610257,-0.31666427855321033,0.6886451732058748,0.7152681818950789,0.5355714072779711
BAO,DM_over_rd,1.48,0.9082585601768908,0.9084985601768908,1,30.277447061467285,0.2998823357203428,-2.985090145571852,-1.6729318022032895,-1.6619530266531644,-1.6586655698567314,1.3121583433685624,1.3231371189186876,1.3264245757151205
CC,H_z,1.53,0.9282193027394289,0.9282993027394288,1,140.0,14.0,1.4149338103225435,1.3149192555827673,1.3108236316712265,1.3396119382286489,-0.10001455473977616,-0.104110178651317,-0.07532187209389463
CC,H_z,1.75,1.0116009116784799,1.01168091167848,1,202.0,39.996,-0.6012438130013784,-0.6276291727719164,-0.6291156192299123,-0.6171998708395721,-0.02638535977053802,-0.027871806228533913,-0.01595605783819365
CC,H_z,1.965,1.0868770324496888,1.0869570324496889,1,186.5,50.43,0.2018521487712225,0.18794374203437705,0.18677068559317012,0.19710437110730533,-0.013908406736845458,-0.015081463178052396,-0.00474777766391718
BAO,DH_over_rd,2.33,1.2029723039923526,1.2031323039923525,1,8.93,0.10601800921111651,-0.8366375972220043,-0.8056950412916553,-0.7858638123143339,-0.9846801745468091,0.030942555930349003,0.05077378490767037,-0.14804257732480486
BAO,DM_over_rd,2.33,1.2029723039923526,1.2032123039923526,1,37.6,0.7186303571914342,1.2842072370093556,1.8923042057209,1.9008888268408877,1.869034975204719,0.6080969687115445,0.6166815898315321,0.5848277381953635
