model,theta,chi2,posterior_weight
PATH_GAMMA2P3,0.6536155441850623,2144.8774422845618,1.436325720348107e-11
PATH_GAMMA2P3,0.6538519476227629,2144.7517966326573,1.5294544384085778e-11
PATH_GAMMA2P3,0.6540883510604635,2144.6263559615886,1.6284545417288325e-11
PATH_GAMMA2P3,0.6543247544981641,2144.501120263297,1.7336851375440966e-11
PATH_GAMMA2P3,0.6545611579358646,2144.376089529751,1.8455265819939315e-11
PATH_GAMMA2P3,0.6547975613735652,2144.2512637528994,1.9643816924830895e-11
PATH_GAMMA2P3,0.6550339648112657,2144.1266429246853,2.0906770264022566e-11
PATH_GAMMA2P3,0.6552703682489663,2144.002227037057,2.224864229735057e-11
PATH_GAMMA2P3,0.6555067716866669,2143.8780160819856,2.367421459182817e-11
PATH_GAMMA2P3,0.6557431751243674,2143.7540100514234,2.518854881715698e-11
PATH_GAMMA2P3,0.655979578562068,2143.6302089373066,2.6797002554537432e-11
PATH_GAMMA2P3,0.6562159819997686,2143.5066127315995,2.8505245960780012e-11
PATH_GAMMA2P3,0.6564523854374692,2143.3832214262575,3.031927933345973e-11
PATH_GAMMA2P3,0.6566887888751698,2143.2600350132307,3.2245451622034304e-11
PATH_GAMMA2P3,0.6569251923128703,2143.1370534844673,3.4290479933968477e-11
PATH_GAMMA2P3,0.6571615957505709,2143.014276831926,3.646147008668321e-11
PATH_GAMMA2P3,0.6573979991882715,2142.891705047558,3.876593825945736e-11
PATH_GAMMA2P3,0.6576344026259721,2142.769338123319,4.121183380028447e-11
PATH_GAMMA2P3,0.6578708060636727,2142.647176051155,4.38075632474376e-11
PATH_GAMMA2P3,0.6581072095013731,2142.525218823036,4.6562015625741117e-11
PATH_GAMMA2P3,0.6583436129390737,2142.4034664308933,4.948458908518137e-11
PATH_GAMMA2P3,0.6585800163767743,2142.2819188666963,5.258521894414688e-11
PATH_GAMMA2P3,0.6588164198144749,2142.1605761223964,5.587440721427012e-11
PATH_GAMMA2P3,0.6590528232521755,2142.0394381899364,5.936325367652373e-11
