model,theta,posterior_weight,high_z_chi2,high_z_logpdf,PantheonPlusSH0ES_chi2,PantheonPlusSH0ES_logpdf,DES_Dovekie_raw_chi2,DES_Dovekie_raw_logpdf,Union3p1_UNITY1p8_chi2,Union3p1_UNITY1p8_logpdf
PATH_GAMMA2P3,0.7259549961214371,2.7364630063604796e-05,956.1650886772102,204.65445428609843,145.8280601612798,95.31653656605852,797.5551032341408,87.65789064877515,12.78192528178949,21.68002707126477
PATH_GAMMA2P3,0.7261913995591377,2.8244527626207464e-05,956.066459953414,204.70376864799655,145.7922693436326,95.33443197488214,797.5107836709308,87.68005043038022,12.763406938850652,21.689286242734195
PATH_GAMMA2P3,0.7264278029968383,2.9149766045079182e-05,955.9681698235698,204.75291371291863,145.75657211651082,95.35228058844302,797.4666462056027,87.70211916304424,12.744951501456324,21.698513961431356
PATH_GAMMA2P3,0.7266642064345389,3.008097135913976e-05,955.870218264798,204.8018894923045,145.72096847329544,95.37008241005071,797.4226908265958,87.72409685254763,12.726558964906733,21.707710229706155
PATH_GAMMA2P3,0.7269006098722395,3.103878163658304e-05,955.7726052542198,204.85069599759368,145.68545840736806,95.3878374430144,797.3789175223517,87.74598350466977,12.708229324500023,21.716875049909508
PATH_GAMMA2P3,0.72713701330994,3.2023847098148843e-05,955.6753307689573,204.89933324022488,145.65004191211153,95.40554569064267,797.3353262813114,87.76777912518992,12.68996257553445,21.726008424392294
PATH_GAMMA2P3,0.7273734167476406,3.303683023598445e-05,955.578394786131,204.94780123163812,145.61471898090545,95.42320715624572,797.2919170919188,87.78948371988622,12.671758713306705,21.73511035550617
PATH_GAMMA2P3,0.7276098201853411,3.407840593256486e-05,955.4817972828641,204.99609998327148,145.57948960713253,95.4408218431322,797.248689942614,87.81109729453863,12.653617733117706,21.744180845600663
PATH_GAMMA2P3,0.7278462236230417,3.51492615748395e-05,955.385538236278,205.04422950656462,145.54435378417529,95.45838975461078,797.2056448218397,87.83261985492584,12.635539630263047,21.753219897028
PATH_GAMMA2P3,0.7280826270607423,3.625009716669073e-05,955.2896176234952,205.09218981295595,145.50931150541433,95.47591089399128,797.1627817180367,87.85405140682724,12.617524400044198,21.762227512137418
PATH_GAMMA2P3,0.7283190304984428,3.738162543847067e-05,955.1940354216274,205.13998091388987,145.47436276422792,95.4933852645845,797.1201006196451,87.87539195602301,12.599572037754296,21.77120369328237
PATH_GAMMA2P3,0.7285554339361434,3.854457195283954e-05,955.0987916078128,205.18760282079714,145.43950755400198,95.51081286969747,797.0776015151131,87.89664150828901,12.581682538697715,21.78014844281066
PATH_GAMMA2P3,0.728791837373844,3.9739675208150886e-05,955.0038861591556,205.23505554512573,145.4047458681158,95.52819371264053,797.0352843928727,87.91780006940928,12.563855898167173,21.78906176307593
PATH_GAMMA2P3,0.7290282408115446,4.096768673747168e-05,954.9093190527869,205.2823390983101,145.3700776999513,95.54552779672281,796.9931492413727,87.93886764515923,12.54609211146289,21.79794365642807
PATH_GAMMA2P3,0.7292646442492452,4.2229371205274904e-05,954.8150902658244,205.32945349179136,145.33550304288778,95.56281512525453,796.9511960490522,87.9598442413195,12.528391173884387,21.806794125217326
PATH_GAMMA2P3,0.7295010476869457,4.352550649939251e-05,954.7211997753873,205.37639873700994,145.3010218903088,95.58005570154404,796.9094248043523,87.98072986366947,12.510753080726154,21.81561317179644
PATH_GAMMA2P3,0.7297374511246463,4.485688381906234e-05,954.6276475585994,205.42317484540388,145.2666342355928,95.59724952890201,796.8678354957165,88.00152451798738,12.493177827290062,21.824400798514485
PATH_GAMMA2P3,0.7299738545623469,4.622430775957662e-05,954.5344335925791,205.469781828414,145.23234007212434,95.61439661063628,796.8264281115844,88.02222821005341,12.475665408870437,21.8331570077243
PATH_GAMMA2P3,0.7302102580000475,4.762859639218791e-05,954.4415578544467,205.51621969748015,145.1981393932805,95.63149695005819,796.7852026403988,88.04284094564616,12.45821582076745,21.841881801775795
PATH_GAMMA2P3,0.7304466614377481,4.907058133950803e-05,954.3490203213184,205.56248846404435,145.1640321924433,95.64855055047678,796.744159070598,88.0633627305466,12.440829058277114,21.85057518302096
PATH_GAMMA2P3,0.7306830648754485,5.055110784631136e-05,954.2568209703243,205.6085881395414,145.1300184629948,95.66555741520102,796.7032973906284,88.08379357053138,12.423505116701012,21.859237153809016
PATH_GAMMA2P3,0.7309194683131491,5.207103484612508e-05,954.1649597785743,205.65451873541645,145.096098198314,95.68251754754147,796.6626175889278,88.10413347138172,12.406243991332516,21.86786771649326
PATH_GAMMA2P3,0.7311558717508497,5.363123502153636e-05,954.0734367231968,205.70028026310524,145.0622713917837,95.69943095080657,796.622119653941,88.12438243887516,12.389045677472001,21.87646687342352
PATH_GAMMA2P3,0.7313922751885503,5.523259486117784e-05,953.9822517813078,205.74587273404967,145.0285380367825,95.71629762830719,796.5818035741097,88.14454047879076,12.371910170415589,21.885034626951725
PATH_GAMMA2P3,0.7316286786262509,5.6876014709287576e-05,953.8914049300251,205.791296159691,144.9948981266914,95.73311758335274,796.5416693378706,88.16460759691029,12.354837465463103,21.893570979427967
PATH_GAMMA2P3,0.7318650820639514,5.856240881102496e-05,953.8008961464708,205.83655055146818,144.96135165489184,95.74989081925253,796.5017169336702,88.18458379901051,12.337827557908785,21.90207593320513
PATH_GAMMA2P3,0.732101485501652,6.029270535208106e-05,953.7107254077636,205.88163592082176,144.9278986147641,95.76661733931638,796.4619463499453,88.20446909087298,12.320880443054243,21.910549490632402
PATH_GAMMA2P3,0.7323378889393526,6.206784649107952e-05,953.6208926910256,205.92655227919082,144.89453899968862,95.78329714685412,796.4223575751414,88.2242634782749,12.303996116195496,21.918991654061774
PATH_GAMMA2P3,0.7325742923770532,6.388878838745818e-05,953.5313979733728,205.9712996380172,144.8612728030447,95.79993024517609,796.3829505976996,88.2439669669958,12.287174572628434,21.927402425845305
PATH_GAMMA2P3,0.7328106958147538,6.57565012218155e-05,953.4422412319263,206.0158780087404,144.82810001821406,95.8165166375914,796.3437254060595,88.26357956281583,12.270415807652693,21.93578180833317
PATH_GAMMA2P3,0.7330470992524543,6.767196921083427e-05,953.3534224438038,206.0602874028018,144.79502063857632,95.8330563274103,796.3046819886623,88.28310127151451,12.253719816565031,21.944129803877
PATH_GAMMA2P3,0.7332835026901549,6.963619061351017e-05,953.2649415861266,206.10452783164027,144.76203465751064,95.84954931794312,796.2658203339524,88.30253209886939,12.237086594663491,21.952446414827772
PATH_GAMMA2P3,0.7335199061278554,7.1650177732849e-05,953.1767986360102,206.14859930669846,144.72914206839857,95.86599561249915,796.227140430369,88.32187205066111,12.220516137242637,21.9607316435382
PATH_GAMMA2P3,0.733756309565556,7.371495690873355e-05,953.0889935705806,206.1925018394133,144.69634286462093,95.882395214388,796.1886422663545,88.34112113266838,12.204008439605177,21.968985492356932
PATH_GAMMA2P3,0.7339927130032566,7.583156850363779e-05,953.0015263669492,206.23623544122896,144.66363703955506,95.8987481269209,796.1503258303501,88.36027935067057,12.187563497044088,21.97720796363748
PATH_GAMMA2P3,0.7342291164409571,7.800106688202788e-05,952.9143970022366,206.2798001235853,144.63102458658403,95.91505435340639,796.1121911107934,88.37934671044889,12.171181304859033,21.985399059730003
PATH_GAMMA2P3,0.7344655198786577,8.022452038007152e-05,952.8276054535636,206.32319589792175,144.59850549908452,95.9313138971562,796.0742380961344,88.3983232177784,12.154861858344741,21.993558782987147
PATH_GAMMA2P3,0.7347019233163583,8.250301126953173e-05,952.741151698046,206.36642277568055,144.56607977044024,95.94752676147834,796.0364667748044,88.41720887844338,12.13860515280138,22.001687135758832
PATH_GAMMA2P3,0.7349383267540589,8.483763571137994e-05,952.6550357128035,206.40948076830185,144.5337473940267,95.96369294968508,795.9988771352523,88.43600369821945,12.122411183524438,22.009784120397303
PATH_GAMMA2P3,0.7351747301917595,8.722950370193544e-05,952.5692574749554,206.45236988722584,144.50150836322706,95.97981246508493,795.9614691659161,88.45470768288749,12.106279945812194,22.017849739253425
PATH_GAMMA2P3,0.73541113362946,8.967973901140064e-05,952.4838169616224,206.49509014389236,144.46936267141982,95.99588531098851,795.9242428552409,88.47332083822516,12.090211434961693,22.025883994678676
PATH_GAMMA2P3,0.7356475370671606,9.218947911276748e-05,952.3987141499153,206.53764154974587,144.43731031198476,96.01191149070604,795.8871981916625,88.49184317001436,12.07420564626809,22.033886889025478
PATH_GAMMA2P3,0.7358839405048612,9.475987509999775e-05,952.3139490169599,206.58002411622363,144.4053512783014,96.02789100754774,795.8503351636282,88.51027468403151,12.058262575030273,22.041858424644385
PATH_GAMMA2P3,0.7361203439425618,9.739209160082602e-05,952.2295215398663,206.62223785477042,144.37348556374945,96.04382386482371,795.8136537595715,88.52861538605987,12.042382216545338,22.049798603886853
PATH_GAMMA2P3,0.7363567473802624,0.00010008730667769816,952.1454316957592,206.6642827768239,144.34171316170753,96.05971006584468,795.7771539679414,88.54686528187483,12.026564566110231,22.057707429104408
PATH_GAMMA2P3,0.7365931508179628,0.00010284671171802098,952.061679461754,206.70615889382657,144.3100340655559,96.07554961392049,795.7408357771765,88.56502437725737,12.010809619021604,22.06558490264872
PATH_GAMMA2P3,0.7368295542556634,0.00010567151131781301,951.9782648149655,206.74786621722083,144.27844826867351,96.09134251236168,795.7046991757152,88.58309267798802,11.995117370576793,22.073431026871123
PATH_GAMMA2P3,0.737065957693364,0.00010856292315356766,951.8951877325193,206.789404758444,144.24695576444154,96.10708876447768,795.668744152004,88.60107018984365,11.979487816073714,22.081245804122663
PATH_GAMMA2P3,0.7373023611310646,0.00011152217784274622,951.8124481915238,206.83077452894167,144.2155565462362,96.1227883735803,795.6329706944798,88.6189569186057,11.963920950807685,22.089029236755675
