scenario,galaxy,group,matched_candidate,N_points,delta_profile_objective_plamb_minus_rar,delta_data_objective_plamb_minus_rar,rar_profile_objective,plamb_profile_objective,rar_distance_pull,plamb_distance_pull,rar_disk_ml_multiplier,plamb_disk_ml_multiplier,rar_bulge_ml_multiplier,plamb_bulge_ml_multiplier,rar_delta_inc_deg,plamb_delta_inc_deg,rar_gas_multiplier,plamb_gas_multiplier,both_optimisers_succeeded
disk_bulge_decoupled,UGC06787,candidate,UGC06787,71,-3.0516700173476465,-2.385366160036085,284.9315302561537,281.87986023880603,3.4514597930445605,3.4242043327539786,0.4841378294063975,0.4900215248377388,0.36787944117144233,0.37020296027427263,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC08699,matched_control,UGC03580,41,-0.3103795592308174,-0.36050789056674404,25.109232619394636,24.798853060163818,0.2981715266996428,0.25869554899254654,1.1186802523418313,1.1414691810530462,1.0375897075887663,1.031110059849871,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC09133,candidate,UGC09133,68,5.301542063419049,5.4269482134176315,152.81966047153196,158.121202534951,-2.375953508199767,-2.398525090083001,2.176410737377732,2.1762509480404306,1.5242273459499804,1.4977606658528655,0.0,0.0,1.0,1.0,True
distance_floor_10pct,NGC2903,candidate,NGC2903,34,6.216802496767258,5.807909659226993,216.2958444241107,222.51264692087796,1.5426427790315789,1.5440257843661653,0.41643367542843224,0.4105141095807464,0.41643367542843224,0.4105141095807464,0.0,0.0,1.0,1.0,True
distance_floor_10pct,NGC3521,matched_control,NGC2903,41,-0.29817456387559105,-0.7914705877302808,18.13421717488024,17.83604261100465,0.5680227135433329,0.6254333828190505,0.7399759505139608,0.7100695436178233,0.7399759505139608,0.7100695436178233,0.0,0.0,1.0,1.0,True
distance_floor_10pct,NGC4559,matched_control,NGC2903,32,-0.003046565338047813,-0.025323501913165458,11.184507221662841,11.181460656324793,-0.9521359340564963,-0.9538542392478533,0.9326748954090358,0.9251930347553189,0.9326748954090358,0.9251930347553189,0.0,0.0,1.0,1.0,True
distance_floor_10pct,NGC5033,matched_control,NGC5985,22,5.6007995629368565,5.600698770882261,97.17994562322286,102.78074518615972,0.11744212690932708,0.11737826369817426,1.0031730388561466,0.9958525328093893,1.0031730388561466,0.9958525328093893,0.0,0.0,1.0,1.0,True
distance_floor_10pct,NGC5985,candidate,NGC5985,33,-3.660684999404225,-3.722729382772968,424.2272164470457,420.56653144764147,-0.9793486792968416,-1.0105286829225528,2.718281828459045,2.718281828459045,2.718281828459045,2.718281828459045,0.0,0.0,1.0,1.0,True
distance_floor_10pct,NGC6195,matched_control,UGC09133,23,-1.7053664580560337,-1.6654114253835814,123.77864747144497,122.07328101338894,-4.0,-4.0,1.3741715399527832,1.3687504119430651,1.3741715399527832,1.3687504119430651,0.0,0.0,1.0,1.0,True
distance_floor_10pct,NGC6674,matched_control,UGC02487,15,-2.322422095905381,-2.7955935617884506,67.12050903943157,64.79808694352619,-1.5266553584858606,-1.594524256044437,1.9962178246592839,2.019741678759473,1.9962178246592839,2.019741678759473,0.0,0.0,1.0,1.0,True
distance_floor_10pct,UGC02487,candidate,UGC02487,17,0.5478653599284584,0.6168317841558633,38.97377093033151,39.52163629025997,-0.319910333668528,-0.3346435463366899,1.9042990097182277,1.8970285486292706,1.9042990097182277,1.8970285486292706,0.0,0.0,1.0,1.0,True
distance_floor_10pct,UGC02885,matched_control,UGC02487,19,-0.556128373578801,-0.528593643654709,41.72778601145535,41.17165763787655,-1.45961649076378,-1.471548692594431,1.4114330113582658,1.4033882398334365,1.4114330113582658,1.4033882398334365,0.0,0.0,1.0,1.0,True
distance_floor_10pct,UGC02916,matched_control,UGC06787,43,2.0185014698523673,1.7336772129937117,225.96507865934606,227.98358012919843,0.6010315343756866,0.7103637621861729,0.7807632424001403,0.7674038081288648,0.7807632424001403,0.7674038081288648,0.0,0.0,1.0,1.0,True
distance_floor_10pct,UGC03205,matched_control,NGC5985,48,-0.9675716139878432,-0.5904981633965463,175.99345096737096,175.02587935338312,-1.3859658541174251,-1.3589468518433319,1.7934000280529887,1.7641631266535565,1.7934000280529887,1.7641631266535565,0.0,0.0,1.0,1.0,True
distance_floor_10pct,UGC03546,matched_control,UGC03580,30,0.574558411131358,0.39469039316091425,13.068192072944658,13.642750484076016,0.5430780336285432,0.5637614532907705,0.70921004056258,0.6993561217924518,0.70921004056258,0.6993561217924518,0.0,0.0,1.0,1.0,True
distance_floor_10pct,UGC03580,candidate,UGC03580,47,-2.6978763235174767,-2.689076572518019,96.96950351481775,94.27162719130027,0.5027316458328561,0.4939021732310488,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.0,0.0,1.0,1.0,True
