model,latent,galaxy,fraction_abs_ge_3p8,fraction_abs_ge_3p8_divergent,fraction_abs_ge_3p8_nondivergent,posterior_mean,posterior_sd,posterior_q01,posterior_q99
RAR,z_logeta,F563-1,0.000875,0.0,0.0008753282480930349,1.2193189833115075,0.8721960494643997,-0.8613487444783821,3.176438861349904
RAR,z_logeta,F563-V2,0.001625,0.0,0.0016256096036013504,1.3954476119187171,0.8768060103530214,-0.5981240897784292,3.449703716975686
RAR,z_logeta,F565-V2,0.0,0.0,0.0,0.12455564224918501,0.9699488448844906,-2.0875333606465825,2.315573285419587
RAR,z_logeta,F568-1,0.015125,0.0,0.015130674002751032,2.396071024897867,0.7110033617856485,0.6605173020222375,3.866417261718887
RAR,z_logeta,F568-3,0.0,0.0,0.0,-0.01731801048721117,0.6582583307823523,-1.4859896719749677,1.525578100362871
RAR,z_logeta,F568-V1,0.077875,0.0,0.0779042140802801,3.0925975191610626,0.5243801500740999,1.7397459931071089,3.9681852796585324
RAR,z_logeta,F571-8,0.6055,0.3333333333333333,0.6056021007877954,-3.7919168953625175,0.19246948530705066,-3.997458198074712,-3.1376711908983252
RAR,z_logeta,F571-V1,0.0,0.0,0.0,-0.45343727239048837,0.8674771019200702,-2.523692450717143,1.4812930257883845
RAR,z_logeta,F574-1,0.0,0.0,0.0,1.0337414192269603,0.6138237610116687,-0.40431962713000474,2.5078591249087028
RAR,z_logeta,F579-V1,0.0,0.0,0.0,1.1891346683358313,0.6495105011373014,-0.3868006593903257,2.680206543627423
RAR,z_logeta,F583-1,0.01275,0.0,0.012754783043641365,2.3805388038648116,0.6562110253190734,0.8560351654192146,3.8379715021985854
RAR,z_logeta,F583-4,0.000125,0.0,0.00012504689258471927,-0.47314542905297347,0.8479652557573132,-2.4626567400107184,1.4639249999113084
RAR,z_logeta,IC2574,0.229,0.3333333333333333,0.22896086032262097,-3.4808842865382896,0.37151001552013124,-3.9913707295793337,-2.4577042344385163
RAR,z_logeta,IC4202,0.0,0.0,0.0,-1.718662170141249,0.3413944785907261,-2.4756151355054667,-0.9232978221756877
RAR,z_logeta,KK98-251,0.0,0.0,0.0,-0.37658397739675403,0.9630770843906955,-2.641372947159796,1.7806882028197297
