mock_id,target,z_lo,z_hi,n_bcuts,N_min,N_max,amp_mean,amp_min,amp_max,amp_cv,snr_max,snr_mean,max_pair_direction_sep_deg,mean_resultant_length,coherence_score
9,broad_0p95_1p45,0.95,1.45,6,95278,192357,0.0013518993420840427,0.0009575940589881744,0.002174162268177783,0.3087243615913836,1.7636373413222928,1.4624323660151868,75.10152471120604,0.9015074293355853,0.5957205592147751
9,narrow_1p15_1p35,1.15,1.35,6,37739,76060,0.0009699996781613205,0.0007369430747134022,0.0012401915720654882,0.1787419244453098,2.21684141883031,1.891016270068248,112.89772624133042,0.7333926631644895,0.46334856859685675
10,broad_0p95_1p45,0.95,1.45,6,95192,192357,0.0020091899661391316,0.0006377865997257095,0.00313728741024716,0.40805930109374955,2.38680594206131,1.5495959551999672,54.28412687309511,0.9594579518470358,1.0379483667103433
10,narrow_1p15_1p35,1.15,1.35,6,37597,76060,0.0018397805034851037,0.0010849256862910436,0.0023848430146122864,0.2311527246580572,3.4020723290506028,2.8091755224576094,17.13002091897123,0.994384279767795,2.4502410214440746
11,broad_0p95_1p45,0.95,1.45,6,95525,192357,0.0010782369532776725,0.0004810268270227543,0.0017455255398768793,0.3984037739140791,1.3609111397398426,1.1017890476826009,148.56984049455886,0.6606750622343602,0.2090222435171908
11,narrow_1p15_1p35,1.15,1.35,6,37649,76060,0.0012293987454544656,0.0008327494281033914,0.002086408388903847,0.33679151786946737,2.414955596553128,1.9742919090638067,62.48788481863401,0.9483161336121885,0.9587718756533878
12,broad_0p95_1p45,0.95,1.45,6,95894,192357,0.0009275464302860673,0.0003810247683175932,0.0015774867657040524,0.41131595125679266,1.213287818048068,0.9595873569819471,123.63924013310279,0.7034846491786282,0.22775731760968587
12,narrow_1p15_1p35,1.15,1.35,6,37706,76060,0.0020608059810394703,0.0009775475507181202,0.003022147582041559,0.3865577076670946,3.357902606519658,2.92342250387027,47.715038037138406,0.953661306602234,1.5542632940000893
13,broad_0p95_1p45,0.95,1.45,6,95607,192357,0.0012015858563438663,0.000713298086206203,0.0022620422673119657,0.4383373506717221,2.0988226787340927,1.7028510599065132,91.87356359873276,0.7999960783279856,0.5520222025174887
13,narrow_1p15_1p35,1.15,1.35,6,37710,76060,0.0007030148048775886,0.0005038267062207179,0.0010000216011211336,0.22116130898492004,1.8381874189515859,1.549817012251305,89.49688443121418,0.8328809944317873,0.5122394599438672
14,broad_0p95_1p45,0.95,1.45,6,95332,192357,0.0027434338039056204,0.002019045471037768,0.003836955172389811,0.22002822876048825,3.47580158279093,2.9487864191614115,18.392720123201485,0.9912474093037056,2.4457393346975262
14,narrow_1p15_1p35,1.15,1.35,6,37627,76060,0.000982799978885878,0.0004715256322210819,0.0012820661075361895,0.2767267832859637,2.1845079851840805,1.412215643508105,35.99338059889157,0.9761247656187884,1.1847370095781802
15,broad_0p95_1p45,0.95,1.45,6,95202,192357,0.002227229100630509,0.000954281498631371,0.0038988106891740485,0.479791067494787,3.173528185348613,2.0748372579228005,60.63511003260384,0.9398831221311391,1.2706338925980243
15,narrow_1p15_1p35,1.15,1.35,6,37985,76060,0.0015980343641913105,0.0008261489374606164,0.0022977006121913603,0.34559823413292895,2.4684202269819946,1.9521489126623897,15.473923458829523,0.993565434753279,1.8249876873627606
16,broad_0p95_1p45,0.95,1.45,6,95468,192357,0.002006226554850541,0.00048458122584895406,0.004371741106264394,0.6508390741152694,2.828088424860276,1.4544902610008803,61.508280786174325,0.9219816704396059,1.1016519578437574
16,narrow_1p15_1p35,1.15,1.35,6,37805,76060,0.000876961641730656,0.0005622101295820997,0.0014555322650030855,0.3175004765752176,2.5055980295384126,1.5655141029737247,107.61289674805751,0.6975644111497598,0.5153674578513913
