model,eta_fac,omega_b_h2,post_eann_baryon_density_factor,Yp_mass,D_H_1e5,He3_H_1e5,Li7_H_1e10,Li6_H_1e14,z_D_H_1e5,chi2_D_H_1e5,z_Yp_mass,chi2_Yp_mass,z_Li7_H_1e10,chi2_Li7_H_1e10,chi2_abundances_measurement,chi2_D_He,D_He_each_2sigma,D_He_Li_each_2sigma,stellar_depletion_to_plateau
SU2CMB_asymptotic,0.9799999999999999,0.021971599999999997,3.9199999999999995,0.316386494618865,0.6730921460146262,0.7191808445076743,25.82126730296829,0.0,-63.2726846201853,4003.4326190454335,23.795498206288325,566.225734885471,97.48506921187317,9503.338719243702,14072.997073174607,4569.658353930905,False,False,17.807770553771235
SU2CMB_asymptotic,0.9999999999999998,0.022419999999999995,3.999999999999999,0.31650092876715663,0.6443017565962146,0.7126108436400351,26.483562058014723,0.0,-64.26545666909604,4130.048920887461,23.833642922385543,568.0425349517785,100.1342482320589,10026.86766899959,14724.959124838828,4698.091455839239,False,False,18.264525557251535
SU2CMB_asymptotic,1.0,0.02242,4.0,0.3165009165330407,0.6444114339168608,0.7126917055960351,26.47639726116333,0.0,-64.26167469252204,4129.562834287527,23.833638844346897,568.0423405627613,100.10558904465333,10021.128957977016,14718.734132827305,4697.605174850289,False,False,18.25958431804368
SU2CMB_asymptotic,1.0199999999999998,0.022868399999999994,4.079999999999999,0.31661260911009625,0.6171292314694043,0.7063026175761686,27.13563882044487,0.0,-65.20244029415846,4251.358220313299,23.87086970336542,569.818420395049,102.74255528177949,10556.032665829514,15377.209306537861,4821.176640708348,False,False,18.714233669272325
SU2CMB_asymptotic,1.0399999999999998,0.023316799999999995,4.159999999999999,0.3167222357844718,0.5911976617195811,0.7002615892662749,27.764950227839357,0.0,-66.0966323544972,4368.764808605566,23.907411928157263,571.5643451025961,105.25980091135743,11079.625687898602,16019.954841606765,4940.329153708162,False,False,19.148241536440935
SU2CMB_asymptotic,1.0599999999999998,0.023765199999999997,4.239999999999999,0.3168294917329286,0.5663841813364903,0.69429566563907,28.415843642867866,0.0,-66.95226960908654,4482.606405807814,23.94316391097621,573.2750980678736,107.86337457147147,11634.507573945557,16690.389077821244,5055.8815038756875,False,False,19.597133546805427
SU2CMB_asymptotic,1.0799999999999998,0.024213599999999995,4.319999999999999,0.31693463883678225,0.5432241252107987,0.6886268955479886,29.02939953107624,0.0,-67.7508922341104,4590.18339851804,23.978212945594084,574.9546960642557,110.31759812430496,12169.972455915655,17335.11055049795,5165.138094582296,False,False,20.02027553867327
SU2CMB_asymptotic,1.0999999999999999,0.024661999999999996,4.3999999999999995,0.3170377078294764,0.5209557938021165,0.6831479496400098,29.64182033184596,0.0,-68.51876573096149,4694.821257294383,24.012569276492126,576.6034832583335,112.76728132738384,12716.459737969333,17987.88447852205,5271.424740552717,False,False,20.442634711617902
SU2CMB_asymptotic,1.1199999999999999,0.025110399999999995,4.4799999999999995,0.3171386555548894,0.4995250749552693,0.6777553502949282,30.265572427293204,0.0,-69.2577560360252,4796.636771145585,24.04621851829647,578.2206250296641,115.26228970917282,13285.395429001286,18660.252825176536,5374.857396175249,False,False,20.872808570547036
SU2CMB_asymptotic,1.14,0.025558799999999996,4.56,0.31723762724768506,0.4794052114015776,0.6726309341075941,30.86402180834817,0.0,-69.95154443442836,4893.218568761805,24.07920908256169,579.8083100417214,117.65608723339268,13842.954863071709,19315.981741875235,5473.026878803526,False,False,21.285532281619428
SU2CMB_asymptotic,1.16,0.026007199999999998,4.64,0.31733485490890667,0.460071540581733,0.6676114951359119,31.460045770718967,0.0,-70.61822273856093,4986.9333827530045,24.111618302968893,581.3701371880645,120.04018308287587,14409.645554570357,19977.949074511427,5568.303519941069,False,False,21.69658329015101
SU2CMB_asymptotic,1.18,0.026455599999999996,4.72,0.31743013134003834,0.44162584495350793,0.6627169342698153,32.0605049221153,0.0,-71.25428120849973,5077.172590539958,24.143377113346112,582.9026584372449,122.4420196884612,14992.04818538952,20652.123434366724,5660.075248977203,False,False,22.11069304973469
SU2CMB_asymptotic,1.2,0.026903999999999997,4.8,0.3175236696494501,0.42418892518827683,0.6580448522167234,32.63244012731547,0.0,-71.85555430385253,5163.220684313899,24.174556549816707,584.4091843802859,124.72976050926188,15557.513156697823,21305.143025392008,5747.6298686941855,False,False,22.50513112228653
SU2CMB_asymptotic,1.2042818911685995,0.027,4.817127564674398,0.31754348960025225,0.4205153722069638,0.6570361573842779,32.75762436279096,0.0,-71.98222854458744,5181.44122624522,24.181163200084082,584.7286537091006,125.23049745116386,15682.677491865958,21448.847371820277,5766.16987995432,False,False,22.59146507778687
SU2CMB_asymptotic,1.22,0.0273524,4.88,0.3176156239310554,0.4073982385057595,0.6534309399694512,33.211532627698425,0.0,-72.43454349980138,5246.763092024618,24.20520797701847,585.8920932107186,127.0461305107937,16140.719277765627,21973.374463000964,5832.655185235337,False,False,22.904505260481674
