model,time_s,scale_factor,T_gamma_MeV,T_nu_MeV,T_nu_over_T_gamma,H_s_inv,rho_gamma_MeV4,rho_extra_MeV4,neff_linx_diagnostic,a_Tgamma_over_T0
SU2CMB_asymptotic,1.0082941921712016,1.7144680550300178e-10,0.7685960171065452,0.7655878849713055,0.996086198642345,0.49631693459404075,0.2296153960298689,0.6888461880896067,32.009431562742144,0.5610588946053918
SU2CMB_asymptotic,1.1086357440117922,1.797835098513677e-10,0.73328273034296,0.730093873060486,0.9956512581702524,0.45147455445375706,0.190236704612542,0.570710113837626,31.963770626193078,0.5613092980904245
SU2CMB_asymptotic,1.237978000636453,1.8999375814601756e-10,0.6942730188992013,0.6908659824601153,0.9950926561362157,0.4043896682966203,0.1528725950179283,0.4586177850537849,31.90505263317064,0.5616303205134009
SU2CMB_asymptotic,1.3742179994942574,2.0018953117213802e-10,0.6593073751634733,0.6556860174163494,0.9945073301413836,0.36437320489835817,0.12432550211162448,0.37297650633487345,31.843421006246487,0.5619662332795692
SU2CMB_asymptotic,1.5104579983520618,2.0989386186873769e-10,0.629197941272018,0.6253758926667715,0.993925522709881,0.33157148623513866,0.10312350323420096,0.3093705097026029,31.782049994179513,0.5622998347172404
SU2CMB_asymptotic,1.6833288416768153,2.2160084097331622e-10,0.596402992747973,0.5923431866346822,0.9931928475164336,0.29758905910008365,0.08324683725831908,0.24974051177495724,31.704602754250452,0.5627197304145801
SU2CMB_asymptotic,1.8773965649560231,2.3405199616830884e-10,0.5651437782041719,0.5608364193205133,0.9923782954890773,0.2668919638767123,0.067118816374394,0.201356449123182,31.618283013002973,0.5631864856300732
SU2CMB_asymptotic,2.0735763662528455,2.4600429541138673e-10,0.5381316271196747,0.5335917623392211,0.9915636536645264,0.24169756809690934,0.05517756805609864,0.16553270416829594,31.53173713384132,0.5636534013568051
SU2CMB_asymptotic,2.3016185310456003,2.5921230597811823e-10,0.5111975486933048,0.5064066842230014,0.990628154453108,0.21780597105377367,0.04493280560538857,0.13479841681616572,31.432088844618622,0.5641898942982452
SU2CMB_asymptotic,2.5580759095593746,2.733119870850577e-10,0.4853374322353494,0.48028549173475327,0.9895908698463085,0.19602317189284457,0.03650762986064288,0.10952288958192866,31.321292570849593,0.5647853101963647
