scenario,model,galaxy,N_points,success,message,optimisation_starts,successful_starts,best_start_index,profile_objective_start_spread,profile_objective,data_objective,prior_objective,logd,distance_pull,distance_multiplier,logeta_disk,disk_ml_multiplier,logeta_bulge,bulge_ml_multiplier,delta_inc_deg,inclination_pull,trial_inclination_deg,logeta_gas,gas_multiplier
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC07261,7,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,4,1.794120407794253e-13,2.9030298567245905,2.758908283774055,0.14412157295053563,0.0328458522166031,-0.27742106345383644,1.0333912319953975,0.06478769486883586,1.0669324850961253,0.06478769486883586,1.0669324850961253,0.0,0.0,30.0,0.0,1.0
baseline,RAR,UGC07323,10,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,5,1.1546319456101628e-13,4.072273912343411,3.0986375796856604,0.9736363326577501,-0.07777297836650884,-0.6461504987308763,0.9251744373161668,-0.18643461750161736,0.8299128219512384,-0.18643461750161736,0.8299128219512384,0.0,0.0,47.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC07323,10,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,8,5.240252676230739e-14,4.2452560318615555,3.2366898641630786,1.0085661676984772,-0.08255798076891933,-0.6621005067389112,0.920758050049356,-0.18877716471321324,0.8279709872919812,-0.18877716471321324,0.8279709872919812,0.0,0.0,47.0,0.0,1.0
baseline,RAR,UGC07608,8,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,10,5.142553050063725e-13,2.9023308124910363,2.212646565994148,0.6896842464968882,0.36306997631943877,0.8243300730071065,1.4377364632272398,0.025204386067938067,1.0255247020673544,0.025204386067938067,1.0255247020673544,0.0,0.0,25.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC07608,8,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,3,4.085620730620576e-14,2.885997692780966,2.2192544329449277,0.6667432598360384,0.35913672322247725,0.8112032405168406,1.4320925885006293,0.02330847808606262,1.0235822435422475,0.02330847808606262,1.0235822435422475,0.0,0.0,25.0,0.0,1.0
baseline,RAR,UGC07690,7,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,6,7.65609797781508e-13,4.474021287132212,3.8331180352789787,0.6409032518532336,-0.0864176298621926,-0.6757992950791015,0.9172110964776413,0.10729590061595524,1.1132636211382392,0.10729590061595524,1.1132636211382392,0.0,0.0,41.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC07690,7,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,2,1.8385293287792592e-13,4.459475122197719,3.81390374011579,0.6455713820819291,-0.08909459856642565,-0.684733540425328,0.9147590345879876,0.10509262601942061,1.1108134958231328,0.10509262601942061,1.1108134958231328,0.0,0.0,41.0,0.0,1.0
baseline,RAR,UGC08286,17,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,6,1.4921397450962104e-13,24.312443179880137,12.016039768710169,12.296403411169969,0.024023474724474293,0.7435837414718234,1.024314363105842,0.8567192739817378,2.355420514578544,0.8567192739817378,2.355420514578544,0.0,0.0,90.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC08286,17,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,4,1.3500311979441904e-13,23.964543098792383,12.008536238998145,11.956006859794236,0.02345989930266316,0.7261397403205264,1.0237372473459916,0.8451600416977794,2.3283504179073113,0.8451600416977794,2.3283504179073113,0.0,0.0,90.0,0.0,1.0
baseline,RAR,UGC08550,11,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,10,4.60964599824365e-13,5.260575672558312,4.5815117353183705,0.6790639372399422,0.11825262961424503,0.007304535510994851,1.1255284172636608,0.20600524583747115,1.2287596498518192,0.20600524583747115,1.2287596498518192,0.0,0.0,90.0,0.0,1.0
