Galaxy,scenario,N_points,rar_success,plamb_success,rar_profile_objective,plamb_profile_objective,delta_objective_plamb_minus_rar,delta_objective_per_point,signed_log1p_delta_per_point
UGC06818,baseline,8,True,True,22.739605845519222,22.927367055546785,0.1877612100275634,0.023470151253445426,0.023198962287444978
UGC06917,baseline,11,True,True,6.967885099322557,6.8783110910374266,-0.08957400828513062,-0.008143091662284602,-0.008110115588546567
UGC06923,baseline,6,True,True,4.044014761973445,4.0878197266975285,0.04380496472408346,0.00730082745401391,0.007274305423536061
UGC06930,baseline,10,True,True,8.082957311222716,7.99874809635529,-0.08420921486742561,-0.00842092148674256,-0.008385663326584393
UGC06983,baseline,17,True,True,15.894799702059986,15.67256327188499,-0.2222364301749966,-0.013072731186764507,-0.012988020504373895
UGC07089,baseline,12,True,True,6.458795901438234,6.656600735941611,0.19780483450337716,0.016483736208614763,0.016349354163494683
UGC07125,baseline,13,True,True,19.628511165866403,19.415970533223998,-0.21254063264240486,-0.016349279434031142,-0.016217069048342525
UGC07151,baseline,11,True,True,10.376522442867994,10.268111797555484,-0.10841064531251021,-0.009855513210228201,-0.009807264392153148
UGC07261,baseline,7,True,True,2.947683519520816,2.9030298567245905,-0.044653662796225735,-0.006379094685175105,-0.006358834376643968
UGC07323,baseline,10,True,True,4.072273912343411,4.2452560318615555,0.1729821195181449,0.01729821195181449,0.01715030117502464
UGC07608,baseline,8,True,True,2.9023308124910363,2.885997692780966,-0.016333119710070232,-0.002041639963758779,-0.002039558649269746
UGC07690,baseline,7,True,True,4.474021287132212,4.459475122197719,-0.0145461649344929,-0.002078023562070414,-0.0020758674575488117
UGC08286,baseline,17,True,True,24.312443179880137,23.964543098792383,-0.3479000810877544,-0.020464710652220847,-0.020258122221261738
UGC08550,baseline,11,True,True,5.260575672558312,5.0648989910436795,-0.1956766815146329,-0.017788789228602993,-0.017632420402366164
UGC08699,baseline,41,True,True,25.51595739662185,25.551930482968856,0.035973086347006245,0.0008773923499269815,0.0008770076662550226
UGC08837,baseline,8,True,True,30.146922193990626,31.016536986176998,0.8696147921863719,0.10870184902329649,0.10318982553474078
UGC09992,baseline,5,True,True,6.659008674777391,6.719061566701033,0.06005289192364138,0.012010578384728276,0.011939023759978348
UGC10310,baseline,7,True,True,6.125303262857395,5.958363474911255,-0.1669397879461405,-0.02384854113516293,-0.023568606630001668
UGC11455,baseline,36,True,True,124.35501072641976,124.48346872735559,0.12845800093582227,0.0035682778037728407,0.003561926604608297
UGC11557,baseline,12,True,True,18.949731369402766,19.108011120217885,0.1582797508151188,0.013189979234593233,0.013103748881900225
UGC11820,baseline,10,True,True,8.056951446781008,7.812647883926556,-0.24430356285445232,-0.02443035628544523,-0.024136708138700377
UGC11914,baseline,65,True,True,150.63989478034065,154.06127629593755,3.4213815155968916,0.05263663870149064,0.05129810114241418
UGC12632,baseline,15,True,True,19.665802036293574,19.20763493582986,-0.4581671004637151,-0.030544473364247673,-0.030087277490642713
UGC12732,baseline,16,True,True,11.203913535878689,10.69025335572822,-0.5136601801504685,-0.032103761259404284,-0.03159920586118818
D512-2,combined_conventional,4,True,True,0.6959889348500987,0.7485625845189687,0.052573649668870015,0.013143412417217504,0.013057787227637629
D564-8,combined_conventional,6,True,True,2.0454686357792404,2.172053917915571,0.1265852821363307,0.02109754702272178,0.020878075287489008
D631-7,combined_conventional,16,True,True,14.925215708114075,14.682234418731476,-0.2429812893826,-0.0151863305864125,-0.01507217257799363
DDO064,combined_conventional,14,True,True,1.3786690797953143,1.3844128629188213,0.005743783123506985,0.00041027022310764175,0.00041018608529169774
DDO161,combined_conventional,31,True,True,6.90656069668162,6.83860854798778,-0.06795214869383948,-0.002192004796575467,-0.0021896058590767445
DDO170,combined_conventional,8,True,True,3.0394927607436095,3.0862571531290683,0.04676439238545882,0.0058455490481823524,0.005828530117466819
ESO079-G014,combined_conventional,15,True,True,13.397146621180028,13.362695234695858,-0.03445138648416979,-0.0022967590989446526,-0.0022941255793678885
ESO116-G012,combined_conventional,15,True,True,5.732045746761294,5.7744533452550915,0.042407598493797494,0.002827173232919833,0.0028231842951854003
ESO563-G021,combined_conventional,30,True,True,133.18184523671468,133.27285004660337,0.09100480988868753,0.003033493662956251,0.003028901904757279
F563-1,combined_conventional,17,True,True,12.108733265096104,12.048472710509282,-0.060260554586822224,-0.0035447385051071896,-0.0035384707269616868
F563-V2,combined_conventional,10,True,True,4.839611667187981,4.76264450270742,-0.0769671644805614,-0.00769671644805614,-0.007667247837122811
F565-V2,combined_conventional,7,True,True,1.4013384829514068,1.3898713540214795,-0.011467128929927295,-0.0016381612757038993,-0.0016368209530980339
